OBJECTID,V
TRO-00887,3
TRO-01145,3
TRO-01957,3
TRO-02085,3
TRO-00444,5
TRO-00519,5
TRO-00847,5
TRO-00493,5
TRO-02141,5
TRO-01188,2
TRO-01442,2
TRO-02183,1
TRO-00451,2
TRO-01802,2
TRO-00455,2
TRO-02086,1
TRO-00844,2
TRO-02172,2
TRO-00456,2
TRO-00809,1
TRO-01953,2
TRO-00467,5
TRO-00477,3
TRO-01648,3
TRO-01940,5
TRO-01685,1
TRO-02184,1
TRO-00472,4
TRO-01372,4
TRO-01521,3
TRO-02039,5
TRO-00478,3
TRO-01483,3
TRO-01505,2
TRO-02043,3
TRO-02063,3
TRO-02115,3
TRO-01692,5
TRO-00593,5
TRO-00499,5
TRO-01099,5
TRO-02108,5
TRO-00511,2
TRO-00824,2
TRO-01009,2
TRO-01006,3
TRO-02232,3
TRO-00520,3
TRO-00638,3
TRO-02117,3
TRO-00601,4
TRO-01716,4
TRO-00563,4
TRO-01218,5
TRO-00864,5
TRO-01934,2
TRO-00532,3
TRO-00533,2
TRO-01583,1
TRO-00537,5
TRO-01329,5
TRO-01600,5
TRO-01806,5
TRO-00539,5
TRO-01495,5
TRO-01767,1
TRO-00622,2
TRO-01982,2
TRO-01181,3
TRO-01232,4
TRO-02120,3
TRO-00976,1
TRO-00547,3
TRO-00604,2
TRO-00901,3
TRO-01001,2
TRO-00556,1
TRO-01793,2
TRO-01417,1
TRO-00684,1
TRO-02009,1
TRO-01208,2
TRO-01414,2
TRO-01592,4
TRO-02067,3
TRO-01406,4
TRO-00583,4
TRO-00750,4
TRO-00590,2
TRO-02114,2
TRO-00591,5
TRO-01623,5
TRO-01488,5
TRO-01821,5
TRO-01269,2
TRO-02044,4
TRO-00603,5
TRO-00818,5
TRO-01525,5
TRO-00896,5
TRO-01647,4
TRO-01075,5
TRO-01138,2
TRO-00697,4
TRO-01370,3
TRO-00780,3
TRO-00888,3
TRO-00662,1
TRO-01174,1
TRO-00706,3
TRO-01002,2
TRO-01334,2
TRO-01551,4
TRO-02205,2
TRO-00642,2
TRO-01690,2
TRO-01830,2
TRO-00645,5
TRO-01267,5
TRO-01998,2
TRO-00808,1
TRO-00990,2
TRO-00787,5
TRO-00656,5
TRO-00661,1
TRO-00893,5
TRO-01160,1
TRO-00668,3
TRO-01573,3
TRO-01870,2
TRO-00677,1
TRO-01357,1
TRO-02147,1
TRO-00708,1
TRO-01375,1
TRO-02089,1
TRO-01754,2
TRO-00679,4
TRO-01941,1
TRO-01993,1
TRO-01448,4
TRO-02151,4
TRO-01662,3
TRO-01918,3
